,HealthExpenditureID,HealthSystemID,PercentOfGDP,PercentOfPublicFunded,PercentOutOfPocketCosts,PerCapita,ExternalHealthExpenditure
0,1,1,10.2,5.1,77.4,57.2,17.5
1,2,2,6.7,41.4,58.0,271.5,0.7
2,3,3,6.6,67.7,30.9,260.4,0.0
3,4,4,,,,,
4,5,5,10.4,49.1,41.7,,
5,6,6,2.9,44.1,35.2,95.2,3.6
6,7,7,4.3,60.6,32.2,623.1,0.0
7,8,8,7.5,74.4,15.8,955.2,0.6
8,9,9,9.9,16.5,80.6,358.8,1.7
9,10,10,,,,,
10,11,11,9.3,68.3,18.9,,0.0
11,12,12,10.4,72.5,18.9,,
12,13,13,6.9,20.0,78.9,268.2,0.4
13,14,14,6.4,49.9,27.7,,0.4
14,15,15,4.9,61.4,28.0,,0.0
15,16,16,2.4,18.0,71.9,34.2,7.6
16,17,17,7.0,45.9,45.2,,1.7
17,18,18,6.3,61.4,35.8,318.0,0.2
18,19,19,10.0,84.1,15.9,,0.0
19,20,20,6.1,66.3,22.9,303.6,3.8
20,21,21,3.9,20.5,43.5,30.4,30.5
21,22,22,,,,,
22,23,23,3.5,74.0,20.1,91.3,4.8
23,24,24,6.9,65.7,28.0,213.0,3.2
24,25,25,9.2,70.8,28.7,443.8,0.2
25,26,26,5.5,55.9,5.2,379.9,6.7
26,27,27,11.8,33.2,43.6,,0.1
27,28,28,2.3,94.9,5.1,630.6,0.0
28,29,29,8.2,50.6,48.0,612.5,
29,30,30,6.8,40.1,31.4,40.9,23.5
30,31,31,6.2,29.1,30.5,18.5,38.6
31,32,32,5.2,56.8,26.0,159.1,15.1
32,33,33,6.1,21.8,58.6,77.7,18.9
33,34,34,4.7,13.3,69.5,64.5,9.3
34,35,35,10.5,73.4,14.6,,
35,36,36,,,,,
36,37,37,4.3,14.9,43.1,16.4,40.9
37,38,38,4.5,18.9,61.2,31.7,14.6
38,39,39,,,,,
39,40,40,8.5,58.5,34.8,,0.0
40,41,41,5.0,58.0,35.9,398.3,0.0
41,42,42,,,,,
42,43,43,,,,,
43,44,44,5.9,62.3,20.2,340.4,2.1
44,45,45,7.6,14.6,73.1,59.0,10.8
45,46,46,3.9,12.3,37.4,20.5,43.4
46,47,47,4.6,42.3,49.7,70.4,3.3
47,48,48,7.6,74.8,22.1,888.9,0.3
48,49,49,4.4,25.8,40.1,67.6,15.0
49,50,50,7.2,78.2,15.4,884.5,
50,51,51,12.2,89.6,10.3,970.6,0.1
51,52,52,,,,,
52,53,53,6.9,42.2,44.9,,1.2
53,54,54,7.1,81.9,15.0,,
54,55,55,10.4,84.1,13.7,,
55,56,56,3.5,45.8,25.8,70.2,27.8
56,57,57,5.3,64.3,29.1,419.4,5.4
57,58,58,6.2,45.7,44.6,414.2,0.6
58,59,59,8.4,51.2,40.5,504.8,0.4
59,60,60,4.6,29.3,62.0,131.0,1.0
60,61,61,7.0,64.5,27.2,293.9,2.3
61,62,62,3.4,23.5,72.8,281.4,1.2
62,63,63,3.0,29.2,59.1,29.9,11.7
63,64,64,6.7,75.4,22.7,,0.2
64,65,65,7.7,69.3,9.9,220.6,13.8
65,66,66,4.0,27.6,37.4,27.5,15.3
66,67,67,,,,,
67,68,68,3.5,63.9,20.6,179.9,3.1
68,69,69,9.5,77.4,20.4,,0.0
69,70,70,11.5,82.9,9.8,,0.0
70,71,71,,,,,
71,72,72,3.1,64.6,22.5,220.4,0.9
72,73,73,4.4,18.6,23.6,20.9,43.8
73,74,74,8.4,36.6,55.6,308.0,2.3
74,75,75,11.1,84.7,12.4,,
75,76,76,4.4,38.4,37.8,67.5,12.8
76,77,77,8.5,60.7,34.3,,0.3
77,78,78,,,,,
78,79,79,5.2,41.3,57.8,516.4,0.9
79,80,80,,,,,
80,81,81,5.8,37.2,53.3,241.4,0.9
81,82,82,5.5,12.3,49.8,37.5,27.2
82,83,83,6.1,44.3,35.4,39.1,20.3
83,84,84,4.2,58.9,35.1,192.3,5.9
84,85,85,5.4,15.3,41.7,37.7,38.4
85,86,86,8.4,45.9,45.0,199.6,3.1
86,87,87,7.4,65.9,29.7,942.6,0.0
87,88,88,8.3,81.5,16.9,,0.0
88,89,89,3.7,25.4,64.6,62.7,1.0
89,90,90,3.1,44.7,37.3,111.6,0.4
90,91,91,8.1,54.5,38.8,415.4,0.0
91,92,92,3.3,21.1,78.5,152.6,0.4
92,93,93,7.4,72.1,13.0,,0.0
93,94,94,,,,,
94,95,95,7.3,62.5,23.0,,1.5
95,96,96,8.9,74.5,23.1,,
96,97,97,6.1,60.6,22.4,296.2,1.2
97,98,98,10.9,83.6,13.5,,0.0
98,99,99,5.5,63.2,28.0,223.5,5.7
99,100,100,3.5,58.8,35.6,262.0,1.2
100,101,101,4.5,36.2,27.7,66.2,19.5
101,102,102,11.9,79.6,0.1,188.0,17.0
102,103,103,,,,,
103,104,104,7.3,59.2,33.3,,0.0
104,105,105,,,,,
105,106,106,3.9,83.9,16.1,,0.0
106,107,107,6.6,39.1,57.6,72.9,3.3
107,108,108,2.4,32.4,46.4,55.2,18.1
108,109,109,6.2,54.6,44.6,874.2,0.0
109,110,110,8.0,52.1,32.1,662.1,0.8
110,111,111,8.1,63.8,18.9,85.5,17.3
111,112,112,9.6,14.2,47.3,68.3,30.1
112,113,113,,,,,
113,114,114,,,,,
114,115,115,6.7,65.6,32.3,987.9,1.0
115,116,116,6.2,81.2,11.2,,1.2
116,117,117,6.0,47.7,22.4,24.1,25.1
117,118,118,9.8,28.0,11.4,29.6,53.8
118,119,119,3.8,50.5,37.6,361.5,0.0
119,120,120,10.6,72.6,19.1,,0.5
120,121,121,3.8,31.6,35.3,29.8,32.2
121,122,122,9.3,63.1,34.8,,0.0
122,123,123,23.3,52.6,9.0,851.3,35.4
123,124,124,4.2,36.7,50.9,46.8,8.2
124,125,125,5.7,44.1,48.2,553.1,0.2
125,126,126,5.5,52.1,40.4,461.8,
126,127,127,12.6,27.8,2.6,386.7,69.2
127,128,128,9.0,48.8,46.3,171.2,3.7
128,129,129,1.7,79.6,7.1,,
129,130,130,3.8,56.7,35.9,140.7,3.9
130,131,131,7.6,75.0,24.1,531.7,0.4
131,132,132,5.8,46.9,48.6,171.5,0.7
132,133,133,5.1,53.3,7.7,19.2,38.1
133,134,134,5.1,20.1,74.0,62.1,5.9
134,135,135,9.1,61.9,7.7,402.8,7.0
135,136,136,6.3,18.6,55.4,45.5,11.7
136,137,137,10.4,81.0,11.5,,0.0
137,138,138,,,,,
138,139,139,9.2,78.7,13.6,,0.0
139,140,140,8.7,61.3,32.2,188.2,4.6
140,141,141,6.2,24.3,58.5,22.7,13.0
141,142,142,3.6,13.0,75.2,79.3,9.8
142,143,143,6.3,63.6,35.4,327.8,0.7
143,144,144,,,,,
144,145,145,10.5,85.1,14.5,,0.0
145,146,146,4.3,89.1,5.9,648.3,0.0
146,147,147,2.8,27.9,65.2,39.6,4.1
147,148,148,11.7,59.8,14.5,,15.4
148,149,149,7.3,65.6,27.4,,0.7
149,150,150,2.0,70.0,7.9,55.2,22.1
150,151,151,8.0,51.6,37.9,327.2,0.0
151,152,152,5.1,64.1,28.3,316.4,0.3
152,153,153,4.4,31.5,53.9,129.4,2.2
153,154,154,6.5,69.7,22.9,809.0,0.2
154,155,155,9.1,66.4,27.8,,
155,156,156,,,,,
156,157,157,3.1,81.6,8.6,,0.0
157,158,158,5.0,78.2,20.7,476.4,0.0
158,159,159,5.3,57.0,40.5,469.1,
159,160,160,6.8,33.9,6.4,48.1,50.6
160,161,161,5.5,76.4,11.9,227.1,10.8
161,162,162,6.4,80.4,18.8,,
162,163,163,6.0,39.9,14.4,105.1,44.6
163,164,164,5.7,67.8,14.3,,0.0
164,165,165,5.5,34.6,51.8,52.6,6.2
165,166,166,9.1,58.0,40.5,494.4,0.1
166,167,167,3.9,96.0,2.1,596.9,1.9
167,168,168,16.5,11.2,41.6,86.3,41.0
168,169,169,4.5,54.5,31.2,,0.0
169,170,170,,,,,
170,171,171,7.1,79.8,17.8,,0.0
171,172,172,8.5,72.3,12.0,,
172,173,173,5.2,69.2,4.6,106.3,26.2
173,174,174,,,,,
174,175,175,8.1,53.7,7.8,428.2,1.9
175,176,176,,,,,
176,177,177,9.0,71.2,23.8,,
177,178,178,3.9,43.1,50.1,153.1,1.1
178,179,179,5.7,43.2,51.5,930.8,0.0
179,180,180,5.3,42.0,48.7,489.8,3.7
180,181,181,,,,,
181,182,182,3.6,76.8,20.5,250.2,0.6
182,183,183,5.7,19.5,73.9,152.0,2.2
183,184,184,6.1,69.4,21.8,356.1,1.4
184,185,185,10.9,83.5,15.2,,
185,186,186,12.2,62.8,29.6,,
186,187,187,,,,,
187,188,188,7.0,28.6,66.1,55.7,5.1
188,189,189,4.1,40.6,21.9,35.5,36.4
189,190,190,3.7,78.1,12.1,221.9,0.2
190,191,191,4.0,55.8,8.9,79.9,31.6
191,192,192,6.6,20.0,50.4,38.8,20.7
192,193,193,5.3,65.9,11.0,203.2,19.4
193,194,194,6.5,52.8,40.1,,0.1
194,195,195,7.0,56.6,39.9,256.5,0.1
195,196,196,4.3,78.4,16.5,468.6,
196,197,197,6.6,18.5,76.2,422.8,0.2
197,198,198,,,,,
198,199,199,15.5,84.5,0.7,507.4,12.2
199,200,200,6.2,16.6,40.3,37.6,40.4
200,201,201,6.7,42.4,54.3,141.2,0.8
201,202,202,3.5,72.5,18.6,,0.0
202,203,203,9.8,80.2,15.1,,0.0
203,204,204,17.1,81.8,11.1,,0.0
204,205,205,9.1,71.7,17.4,,0.0
205,206,206,6.3,46.1,52.2,135.1,1.2
206,207,207,3.7,53.9,8.4,109.8,34.6
207,208,208,3.2,24.1,40.0,,0.0
208,209,209,5.7,47.4,44.6,122.8,2.3
209,210,210,,,,,
210,211,211,,,,,
211,212,212,5.6,10.2,81.0,72.0,7.8
212,213,213,4.5,38.3,12.1,56.5,42.5
213,214,214,9.4,46.5,21.2,93.9,25.4
